Компания,Что обещает,Что подтверждают клиенты,Что опровергают
Билкам,"Крупнейший интернет-магазин, продажа оптом и в розницу без наценок, бесплатный 3D-эскиз, изготовление за 14 дней, бесплатное хранение 1-4.","Низкие цены, удобный дистанционный формат заказа, приятное обслуживание менеджеров, бесплатные макеты 5-8.","Качество установки (памятники тонкие, неустойчивые), срыв сроков, серьезные расхождения результата с согласованным макетом, удаление негативных отзывов 9-12."
Данила-Мастер,"Крупнейшая сеть с 1997 г., цены от производителя (карельский гранит), гарантия 25 лет, скидки пенсионерам и военным, строгий контроль качества 13-16.","Отличное качество самого камня и портретов/гравировки, вежливость персонала в офисе, удобный онлайн-заказ 17-20.","Монтаж: компания оформляет установку отдельным договором, а затем расторгает его, ссылаясь на то, что их «не пускают на кладбища», оставляя клиента с памятником на руках 21-24. Также отмечают срывы сроков 25, 26."
Мемориал,"Цены от производителя, низкая стоимость («удар по ценам»), строгое соблюдение сроков монтажа, своя технология установки с гарантией 27-29.","Действительно низкие цены (ниже рынка), красивые готовые стелы, доброжелательность менеджеров (в момент оформления) 30-33.","Отвратительное качество фундаментов и плитки (через год отваливается, проваливается), брошенный строительный мусор, срыв сроков на несколько месяцев, игнорирование звонков после оплаты, самовольное изменение размеров фото на меньшие 34-38."
Обелиск Урал,"Опыт более 20 лет, полный цикл производства, гарантия на монтаж 2 года, рассрочка, 3D-моделирование 39, 40.","Высочайший уровень эмпатии и сервиса, быстрые сроки изготовления (вплоть до 4 дней), качественная установка, профессиональная работа художников-граверов 41-44.",Серьезных опровержений нет. Встречаются лишь единичные нейтрально-негативные оценки без конкретики 45.
Осирис 96,"Производство полного цикла, низкие цены, гарантия 5 лет на установку и 10 лет на камень, бесплатное хранение, рассрочка 0% 46, 47.","Строгое соблюдение сроков, прозрачность, подробные фотоотчеты для иногородних клиентов, качественное выполнение комплексного благоустройства 48-51.","Единично отмечают заманивание низкими рекламными ценами, которые по факту расчета оказываются выше ожидаемого 52."
Гранит Памяти,"25 лет опыта, рассрочка без банка, гарантия 10 лет на камень и 2 года на монтаж, 3D-проект, оформление документов для военкомата 53-55.","Удобное дистанционное сопровождение через мессенджеры/чат-боты, компетентность менеджеров, высокое качество портретов и гранита 56-59.","Срывы сроков (ожидание монтажа растягивается на месяцы или переносится на год), установка памятника вплотную к соседней могиле без согласования 60-62."
Помни Всегда (Евгений Фаткулин),"Экспертность (обучающие статьи, видео блог), полная прозрачность, фото-документирование каждого шага, качественные долговечные решения 63-65.","Индивидуальный подход (в успешных заказах), красивые цветные фото на стекле, отчеты в WhatsApp 66-69.","Мошенничество: берет деньги на личные карты и пропадает; нецензурная брань и агрессия при любых претензиях; ужасное зеленое/пиксельное качество фото в реальности, написание фейковых отзывов самому себе 70-74."
Мрамор Уральский,"Оптимально низкие цены от производителя, свое производство, большой ассортимент 75, 76.","Исключительно низкие цены (в 2-3 раза дешевле конкурентов), подробные консультации руководителя производства, точное соблюдение сроков 77-80.",В отзывах отсутствуют явные опровержения качества работы или сервиса 77.
Гранит66.рф,"Работа с 2009 г., бесплатные эскизы, гарантия 5 лет, доставка и упаковка 81-83.","Удобство работы дистанционно, беспроцентная рассрочка, если заказ доведен до конца — качество хорошее 84-86.","Игнорирование клиента после внесения 100% предоплаты, ожидание заказа по 8 месяцев, срывы сроков, навязчивость и хамство персонала 87-90."
Камень Проф,"Мемориальные комплексы «под ключ», современное оборудование для резки и гравировки, цены без посредников 91, 92.","Качественное исполнение камня, красивая и реалистичная гравировка портретов, производство в срок 93-95.","Цены выше, чем у конкурентов, странные требования к оформлению договоров, сильные задержки именно на этапе установки из-за монтажников 94, 95."
